name,description,published,author,url,github_ind,github_url,downloads,stars,last_commit,downloads_per_star
abbyyR,"Get text from images of text using Abbyy Cloud Optical Character
    Recognition (OCR) API. Easily OCR images, barcodes, forms, documents with
    machine readable zones, e.g. passports. Get the results in a variety of formats
    including plain text and XML. To learn more about the Abbyy OCR API, see 
    <http://ocrsdk.com/>.",2019-06-25,Gaurav Sood,http://github.com/soodoku/abbyyR,TRUE,https://github.com/soodoku/abbyyr,38425,38,2019-06-30T01:53:13Z,1011.1842105263158
ABCoptim,"An implementation of Karaboga (2005) Artificial Bee Colony
    Optimization algorithm <http://mf.erciyes.edu.tr/abc/pub/tr06_2005.pdf>.
    This (working) version is a Work-in-progress, which is
    why it has been implemented using pure R code. This was developed upon the basic
    version programmed in C and distributed at the algorithm's official website.",2017-11-06,George Vega Yon,"http://github.com/gvegayon/ABCoptim, http://mf.erciyes.edu.tr/abc/",TRUE,https://github.com/gvegayon/abcoptim,32889,22,2020-05-31T18:09:24Z,1494.9545454545455
abdiv,"A collection of measures for measuring ecological diversity.
  Ecological diversity comes in two flavors: alpha diversity measures the
  diversity within a single site or sample, and beta diversity measures the
  diversity across two sites or samples. This package overlaps considerably
  with other R packages such as 'vegan', 'gUniFrac', 'betapart', and 'fossil'.
  We also include a wide range of functions that are implemented in software
  outside the R ecosystem, such as 'scipy', 'Mothur', and 'scikit-bio'.  The
  implementations here are designed to be basic and clear to the reader.",2020-01-20,Kyle Bittinger,https://github.com/kylebittinger/abdiv,TRUE,https://github.com/kylebittinger/abdiv,2831,0,2020-01-26T20:25:01Z,NA
abjutils,"The Brazilian Jurimetrics Association (ABJ in
    Portuguese, see <http://www.abjur.org.br/en/> for more information) is
    a non-profit organization which aims to investigate and promote the
    use of statistics and probability in the study of Law and its
    institutions.  This package implements general purpose tools used by
    ABJ, such as functions for sampling and basic manipulation of
    Brazilian lawsuits identification number. It also implements functions
    for text cleaning, such as accentuation removal.",2019-02-07,Caio Lente,https://github.com/abjur/abjutils,TRUE,https://github.com/abjur/abjutils,40051,19,2019-09-28T20:34:27Z,2107.9473684210525
ace2fastq,"The ACE file format is used in genomics to store contigs from sequencing machines.
  This tools converts it into FASTQ format. Both formats contain the 
  sequence characters and their
  corresponding quality information. Unlike the FASTQ file, the ace file stores the
  quality values numerically.
  The conversion algorithm uses the standard Sanger formula. The package facilitates insertion
  into pipelines, and content inspection.",2019-06-20,Reinhard Simon,https://github.com/c5sire/ace2fastq,TRUE,https://github.com/c5sire/ace2fastq,5850,0,2020-02-24T10:48:08Z,NA
ActFrag,"Recent studies haven shown that, on top of total daily active/sedentary volumes, the time 
  accumulation strategies provide more sensitive information. This package provides functions to extract 
  commonly used fragmentation metrics to quantify such time accumulation strategies based on minute level 
  actigraphy-measured activity counts data. ",2020-02-11,Junrui Di,https://github.com/junruidi/ActFrag,TRUE,https://github.com/junruidi/actfrag,5735,0,2020-02-28T02:22:27Z,NA
activityCounts,"ActiLife software generates activity counts from data collected by Actigraph accelerometers <https://s3.amazonaws.com/actigraphcorp.com/wp-content/uploads/2017/11/26205758/ActiGraph-White-Paper_What-is-a-Count_.pdf>.
  Actigraph is one of the most common research-grade accelerometers. There is considerable research
  validating and developing algorithms for human activity using ActiLife counts. Unfortunately,
  ActiLife counts are proprietary and difficult to implement if researchers use different accelerometer brands.
  The code  creates ActiLife counts from raw acceleration data for different accelerometer brands and it is developed
  based on the study done by Brond and others (2017) <doi:10.1249/MSS.0000000000001344>.",2019-07-31,SeyedJavad KhataeiPour,"https://github.com/walkabillylab/activityCounts,
https://github.com/jbrond/ActigraphCounts",TRUE,https://github.com/walkabillylab/activitycounts,5069,2,2019-11-20T17:12:22Z,2534.5
adapr,"Tracks reading and writing within R scripts that are organized into
    a directed acyclic graph. Contains an interactive shiny application adaprApp().
    Uses git2r package, Git and file hashes to track version histories of input
    and output. See package vignette for how to get started. V1.02 adds parallel
    execution of project scripts and function map in vignette. Makes project
    specification argument last in order. V2.0 adds project specific libraries, packrat option, and adaprSheet().",2017-11-30,Jon Gelfond,NA,TRUE,https://github.com/gelfondjal/adapr,19374,13,2020-01-28T22:56:18Z,1490.3076923076924
AdaptGauss,"Multimodal distributions can be modelled as a mixture of components. The model is derived using the Pareto Density Estimation (PDE) for an estimation of the pdf. PDE has been designed in particular to identify groups/classes in a dataset. Precise limits for the classes can be calculated using the theorem of Bayes. Verification of the model is possible by QQ plot, Chi-squared test and Kolmogorov-Smirnov test. The package is based on the publication of Ultsch, A., Thrun, M.C., Hansen-Goos, O., Lotsch, J. (2015)  <DOI:10.3390/ijms161025897>.",2020-02-03,Michael Thrun,https://www.uni-marburg.de/fb12/datenbionik/software-en,TRUE,https://github.com/mthrun/adaptgauss,29418,0,2020-02-03T17:16:37Z,NA
adaptMT,"Implementation of adaptive p-value thresholding (AdaPT), including both a framework that allows the user to specify any 
  algorithm to learn local false discovery rate and a pool of convenient functions that implement specific 
  algorithms. See Lei, Lihua and Fithian, William (2016) <arXiv:1609.06035>.",2018-07-31,Lihua Lei,"https://arxiv.org/abs/1609.06035,
https://github.com/lihualei71/adaptMT",TRUE,https://github.com/lihualei71/adaptmt,9397,6,2020-02-29T23:25:30Z,1566.1666666666667
