name,description,published,author,url,github_ind,github_url,downloads,stars,last_commit
abbyyR,"Get text from images of text using Abbyy Cloud Optical Character
    Recognition (OCR) API. Easily OCR images, barcodes, forms, documents with
    machine readable zones, e.g. passports. Get the results in a variety of formats
    including plain text and XML. To learn more about the Abbyy OCR API, see 
    <http://ocrsdk.com/>.",2018-05-30,Gaurav Sood,http://github.com/soodoku/abbyyR,TRUE,https://github.com/soodoku/abbyyr,25953,36,1549384577
ABCoptim,"An implementation of Karaboga (2005) Artificial Bee Colony
    Optimization algorithm <http://mf.erciyes.edu.tr/abc/pub/tr06_2005.pdf>.
    This (working) version is a Work-in-progress, which is
    why it has been implemented using pure R code. This was developed upon the basic
    version programmed in C and distributed at the algorithm's official website.",2017-11-06,George Vega Yon,"http://github.com/gvegayon/ABCoptim, http://mf.erciyes.edu.tr/abc/",TRUE,https://github.com/gvegayon/abcoptim,27147,16,1531033423
abctools,Tools for approximate Bayesian computation including summary statistic selection and assessing coverage.,2018-07-17,Matt Nunes,https://github.com/dennisprangle/abctools,TRUE,https://github.com/dennisprangle/abctools,130057,5,1531835371
ABHgenotypeR,"Easy to use functions to visualize marker data
    from biparental populations. Useful for both analyzing and
    presenting genotypes in the ABH format.",2016-02-04,Stefan Reuscher,http://github.com/StefanReuscher/ABHgenotypeR,TRUE,https://github.com/stefanreuscher/abhgenotyper,12634,4,1528676655
abjutils,"The Brazilian Jurimetrics Association (ABJ in
    Portuguese, see <http://www.abjur.org.br/en/> for more information) is
    a non-profit organization which aims to investigate and promote the
    use of statistics and probability in the study of Law and its
    institutions.  This package implements general purpose tools used by
    ABJ, such as functions for sampling and basic manipulation of
    Brazilian lawsuits identification number. It also implements functions
    for text cleaning, such as accentuation removal.",2019-02-07,Caio Lente,https://github.com/abjur/abjutils,TRUE,https://github.com/abjur/abjutils,10232,11,1551129780
ACMEeqtl,"We use a non-linear model, termed ACME,
        that reflects a parsimonious biological model for
        allelic contributions of cis-acting eQTLs.
        With non-linear least-squares algorithm we
        estimate maximum likelihood parameters. The ACME model
        provides interpretable effect size estimates and
        p-values with well controlled Type-I error.
        Includes both R and (much faster) C implementations.
        For more details see Palowitch et al. (2017) <doi:10.1111/biom.12810>.",2018-03-06,Andrey A Shabalin  (<https://orcid.org/0000-0003-0309-6821>),https://github.com/andreyshabalin/ACMEeqtl,TRUE,https://github.com/andreyshabalin/acmeeqtl,8925,0,1550594311
adapr,"Tracks reading and writing within R scripts that are organized into
    a directed acyclic graph. Contains an interactive shiny application adaprApp().
    Uses git2r package, Git and file hashes to track version histories of input
    and output. See package vignette for how to get started. V1.02 adds parallel
    execution of project scripts and function map in vignette. Makes project
    specification argument last in order. V2.0 adds project specific libraries, packrat option, and adaprSheet().",2017-11-30,Jon Gelfond,NA,TRUE,https://github.com/gelfondjal/adapr,10871,8,1553178019
adaptMCMC,Enables sampling from arbitrary distributions if the log density is known up to a constant; a common situation in the context of Bayesian inference. The implemented sampling algorithm was proposed by Vihola (2012) <DOI:10.1007/s11222-011-9269-5> and achieves often a high efficiency by tuning the proposal distributions to a user defined acceptance rate.,2018-01-14,Andreas Scheidegger,https://github.com/scheidan/adaptMCMC,TRUE,https://github.com/scheidan/adaptmcmc,25336,6,1547481671
adaptMT,"Implementation of adaptive p-value thresholding (AdaPT), including both a framework that allows the user to specify any 
  algorithm to learn local false discovery rate and a pool of convenient functions that implement specific 
  algorithms. See Lei, Lihua and Fithian, William (2016) <arXiv:1609.06035>.",2018-07-31,Lihua Lei,"https://arxiv.org/abs/1609.06035,
https://github.com/lihualei71/adaptMT",TRUE,https://github.com/lihualei71/adaptmt,3029,6,1541176886
AdaSampling,"Implements the adaptive sampling procedure, a framework for both positive unlabeled learning and learning with class label noise. Yang, P., Ormerod, J., Liu, W., Ma, C., Zomaya, A., Yang, J. (2018) <doi:10.1109/TCYB.2018.2816984>.",2018-06-27,Pengyi Yang & Dinuka Perera,https://github.com/PengyiYang/AdaSampling/,TRUE,https://github.com/pengyiyang/adasampling,4273,4,1530146361
