name,description,published,author,url,github_ind,github_url,downloads,stars,last_commit,downloads_per_star
AATtools,"Compute approach bias scores using different scoring algorithms,
    compute bootstrapped and exact split-half reliability estimates,
    and compute confidence intervals for individual participant scores.",2020-06-14,Sercan Kahveci,NA,TRUE,https://github.com/spiritspeak/aattools,7109,0,2021-08-25T08:38:43Z,NA
ABCoptim,"An implementation of Karaboga (2005) Artificial Bee Colony
    Optimization algorithm <http://mf.erciyes.edu.tr/abc/pub/tr06_2005.pdf>.
    This (working) version is a Work-in-progress, which is
    why it has been implemented using pure R code. This was developed upon the basic
    version programmed in C and distributed at the algorithm's official website.",2017-11-06,George Vega Yon,"http://github.com/gvegayon/ABCoptim, http://mf.erciyes.edu.tr/abc/",TRUE,https://github.com/gvegayon/abcoptim,28315,21,2021-06-14T06:23:28Z,1348.3333333333333
abess,"Extremely efficient toolkit for solving the best subset selection problem in linear regression, logistic regression, Poisson regression, Cox proportional hazard model, multiple-response regression, multinomial logistic regression, and (sequential) principal component analysis. It implements and generalizes algorithms designed in <doi:10.1073/pnas.2014241117> that exploits a novel sequencing-and-splicing technique to guarantee exact support recovery and globally optimal solution in polynomial times.  ",2021-07-31,Jin Zhu,"https://github.com/abess-team/abess,
https://abess-team.github.io/abess/,
https://abess.readthedocs.io",TRUE,https://github.com/abess-team/abess,2519,140,2021-09-03T13:07:41Z,17.992857142857144
abjutils,"The Brazilian Jurimetrics Association (ABJ in
    Portuguese, see <https://abj.org.br/> for more information) is
    a non-profit organization which aims to investigate and promote the
    use of statistics and probability in the study of Law and its
    institutions.  This package implements general purpose tools used by
    ABJ, such as functions for sampling and basic manipulation of
    Brazilian lawsuits identification number. It also implements functions
    for text cleaning, such as accentuation removal.",2020-08-12,Caio Lente,https://github.com/abjur/abjutils,TRUE,https://github.com/abjur/abjutils,47919,33,2021-02-05T18:04:45Z,1452.090909090909
abstr,"Provides functions to convert origin-destination data,
    represented as straight 'desire lines' in the 'sf' Simple Features
    class system, into JSON files that can be directly imported into
    A/B Street <https://www.abstreet.org>, a free and open source tool
    for simulating urban transport systems and scenarios of change
    <doi:10.1007/s10109-020-00342-2>.",2021-08-19,Nathanael Sheehan,"https://github.com/a-b-street/abstr,
https://a-b-street.github.io/abstr/",TRUE,https://github.com/a-b-street/abstr,209,13,2021-08-31T23:25:46Z,16.076923076923077
academictwitteR,"Package to query the Twitter Academic Research Product Track,
    providing access to full-archive search and other v2 API endpoints. Functions
    are written with academic research in mind. They provide flexibility in how 
    the user wishes to store collected data, and encourage regular storage of data
    to mitigate loss when collecting large volumes of tweets. They also provide
    workarounds to manage and reshape the format in which data is provided on
    the client side.",2021-07-07,Christopher Barrie,https://github.com/cjbarrie/academictwitteR,TRUE,https://github.com/cjbarrie/academictwitter,4057,163,2021-08-25T10:56:48Z,24.88957055214724
accucor,"An isotope natural abundance correction algorithm that
  is needed especially for high resolution mass spectrometers. Supports
  correction for 13C, 2H and 15N.",2021-04-12,Xiaoyang Su,https://github.com/XiaoyangSu/AccuCor,TRUE,https://github.com/xiaoyangsu/accucor,2117,9,2021-04-12T14:29:02Z,235.22222222222223
aceEditor,"Wraps the 'Ace' editor in a HTML widget. The 'Ace' editor has support for many languages. It can be opened in the viewer pane of 'RStudio', and this provides a second source editor.",2021-03-06,Stéphane Laurent,https://github.com/stla/aceEditor,TRUE,https://github.com/stla/aceeditor,5210,3,2021-03-06T09:48:47Z,1736.6666666666667
ActCR,"Circadian rhythms are rhythms that oscillate about every 24 h, which has been observed in multiple physiological processes including core body temperature, hormone secretion, heart rate, blood pressure, and many others. Measuring circadian rhythm with wearables is based on a principle that there is increased movement during wake periods and reduced movement during sleep periods, and has been shown to be reliable and valid. This package can be used to extract nonparametric circadian metrics like intradaily variability (IV), interdaily stability (IS), and relative amplitude (RA); and parametric cosinor model and extended cosinor model coefficient. Details can be found in Junrui Di et al (2019) <doi:10.1007/s12561-019-09236-4>.",2021-01-28,Junrui Di,https://github.com/junruidi/ActCR,TRUE,https://github.com/junruidi/actcr,6560,0,2021-01-29T21:40:48Z,NA
actel,"Designed for studies where animals tagged with acoustic tags are expected
    to move through receiver arrays. This package combines the advantages of automatic sorting and checking 
    of animal movements with the possibility for user intervention on tags that deviate from expected 
    behaviour. The three analysis functions (explore(), migration() and residency()) 
    allow the users to analyse their data in a systematic way, making it easy to compare results from 
    different studies.
    CJS calculations are based on Perry et al. (2012) <https://www.researchgate.net/publication/256443823_Using_mark-recapture_models_to_estimate_survival_from_telemetry_data>.",2021-01-05,Hugo Flávio,https://github.com/hugomflavio/actel,TRUE,https://github.com/hugomflavio/actel,10792,18,2021-06-10T18:55:44Z,599.5555555555555
